pulled_at,seendate,title,url,domain,sourcecountry,language,query_bucket,tags,matched_keywords,mentions_lndc
2026-09-07T08:11:56Z,20260903T044500Z,Infrastructure plan bears fruit,https://www.sanews.gov.za/south-africa/infrastructure-plan-bears-fruit,sanews.gov.za,South Africa,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260902T210000Z,Criminal chrome : A view into the void of state failure,https://www.dailymaverick.co.za/article/2026-09-02-illegal-chrome-mining-an-aerial-view-into-the-void-of-state-failure/,dailymaverick.co.za,South Africa,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260902T114500Z,Call for Proposals for Small - Scale Development Projects 2027,https://www2.fundsforngos.org/community-development-2/call-for-proposals-for-small-scale-development-projects-2027/,fundsforngos.org,United States,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260902T101500Z,Immigrants stuck in Western Cape jails since June,https://www.news24.com/southafrica/crime-and-courts/immigrants-stuck-in-western-cape-jails-since-june-20260902-0569,news24.com,South Africa,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260902T064500Z,Hichilema begins second term as Zambia faces democratic test,https://cajnewsafrica.com/2026/09/02/hichilema-begins-second-term-as-zambia-faces-democratic-test/,cajnewsafrica.com,Nigeria,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260902T050000Z,Immigrants stuck in Cape jails since June,https://groundup.org.za/article/union-and-activists-demand-justice-for-immigrants-detained-in-cape-winelands/,groundup.org.za,South Africa,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260902T024500Z,20 spectacular destinations where the US dollar is worth the most,https://www.aol.com/articles/20-best-travel-destinations-where-121513000.html,aol.com,United States,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260901T180000Z,"AFC , Vision Invest commit $300m to WIOCC for Africa digital infrastructure expansion",https://thesun.ng/afc-vision-invest-commit-300m-to-wiocc-for-africas-digital-infrastructure-expansion/,thesun.ng,,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260901T160000Z,Africa Finance Corporation ( AFC ) / Press release | WIOCC Group Secures Strategic Investment from Africa Finance Corporation ( AFC ) and Vision Invest to Accelerate its Digital Infrastructure Expansion Across Africa,https://africafinancecorporation.africa-newsroom.com/press/wiocc-group-secures-strategic-investment-from-africa-finance-corporation-afc-and-vision-invest-to-accelerate-its-digital-infrastructure-expansion-across-africa,africafinancecorporation.africa-newsroom.com,South Africa,English,trade_investment,fdi_investment,fdi_investment:investment,False
2026-09-07T08:11:56Z,20260901T131500Z,South Africa : SA Records R20 . 1 Billion Trade Surplus in July,https://allafrica.com/stories/202609010440.html,allafrica.com,Nigeria,English,trade_investment,,,False
2026-09-07T08:11:56Z,20260906T200000Z,  LEC manager prolonged suspension a political game  – Seitlheko,https://sundayexpress.co.ls/?p=36484,sundayexpress.co.ls,Lesotho,English,industry_sectors,energy_water,energy_water:lec,False
2026-09-07T08:11:56Z,20260904T060000Z,Bacteria found in WBeauty shampoo triggers recall by Woolworths,https://www.timeslive.co.za/news/south-africa/2026-09-04-bacteria-found-in-wbeauty-shampoo-triggers-recall-by-woolworths/,timeslive.co.za,South Africa,English,industry_sectors,,,False
2026-09-07T08:11:56Z,20260903T234500Z,Gem Diamonds rebounds as big stones lift profit - The Northern Miner,https://www.northernminer.com/news/gem-diamonds-rebounds-as-big-stones-lift-profit/1003894585/,northernminer.com,Canada,English,industry_sectors,,,False
2026-09-07T08:11:56Z,20260903T140000Z,APO Group - Africa Newsroom / Press release | Prime Minister Matekane Joined African Union ( AU ) Extraordinary Summit in Angola and Toured Fertilizer Facility in Zambia,https://www.africa-newsroom.com/press/prime-minister-matekane-joined-african-union-au-extraordinary-summit-in-angola-and-toured-fertilizer-facility-in-zambia,africa-newsroom.com,South Africa,English,industry_sectors,governance_political,governance_political:prime minister,False
2026-09-07T08:11:56Z,20260901T140000Z,Hungry Lion customer creds online for months,https://www.itweb.co.za/article/hungry-lion-customer-creds-online-for-months/6GxRKqYQEDZqb3Wj,itweb.co.za,South Africa,English,industry_sectors,,,False
2026-09-07T08:11:56Z,20260901T103000Z,Illegal mining ravages South Africa economic hub,https://www.jacarandafm.com/news/news/illegal-mining-ravages-south-africas-economic-hub/,jacarandafm.com,South Africa,English,industry_sectors,mining_minerals,mining_minerals:mining,False
2026-09-07T08:11:56Z,20260831T191500Z,Ford recalls vehicles in South Africa over safety concerns,http://www.africaleader.com/news/279276809/ford-recalls-vehicles-in-south-africa-over-safety-concerns,africaleader.com,South Africa,English,industry_sectors,,,False
2026-09-07T08:11:56Z,20260831T181500Z,Ford recalls vehicles in South Africa over safety concerns,http://www.nigeriasun.com/news/279276809/ford-recalls-vehicles-in-south-africa-over-safety-concerns,nigeriasun.com,Nigeria,English,industry_sectors,,,False
2026-09-07T08:11:56Z,20260831T181500Z,Ford recalls vehicles in South Africa over safety concerns,http://www.sierraleonetimes.com/news/279276809/ford-recalls-vehicles-in-south-africa-over-safety-concerns,sierraleonetimes.com,Sierra Leone,English,industry_sectors,,,False
2026-09-07T08:11:56Z,20260831T174500Z,Ford recalls vehicles in South Africa over safety concerns,http://www.zimbabwestar.com/news/279276809/ford-recalls-vehicles-in-south-africa-over-safety-concerns,zimbabwestar.com,Zimbabwe,English,industry_sectors,,,False
2026-09-07T08:11:56Z,20260906T200000Z,  Strangled  Peka mother laid to rest  - Sunday Express,https://sundayexpress.co.ls/?p=36479,sundayexpress.co.ls,Lesotho,English,infrastructure_risk,,,False
2026-09-07T08:11:56Z,20260906T093000Z,"Orange level 6 warning as severe thunderstorms , flooding and hail expected",https://www.timeslive.co.za/news/south-africa/2026-09-06-orange-level-6-warning-as-severe-thunderstorms-flooding-and-hail-expected/,timeslive.co.za,South Africa,English,infrastructure_risk,,,False
2026-09-07T08:11:56Z,20260905T200000Z,Orange Level 6 warning issued as severe storms threaten parts of SA,https://www.thesouthafrican.com/news/weather/orange-level-6-warning-issued-as-severe-storms-threaten-parts-of-sa/,thesouthafrican.com,South Africa,English,infrastructure_risk,,,False
2026-09-07T08:11:56Z,20260905T200000Z,WEATHER : Bitter cold and powerful storms to bring flooding and hail,https://www.thesouthafrican.com/news/weather/weather-forecasting-bitter-cold-and-powerful-storms-to-bring-flooding-and-hail-south-africa/,thesouthafrican.com,South Africa,English,infrastructure_risk,,,False
2026-09-07T08:11:56Z,20260905T180000Z,"Here is your weather for Sunday , 6 September 2026",https://www.citizen.co.za/news/south-africa/weather/here-is-your-weather-for-sunday-6-september-2026/,citizen.co.za,South Africa,English,infrastructure_risk,,,False
2026-09-07T08:11:56Z,20260903T140000Z,APO Group - Africa Newsroom / Press release | Lesotho Key Stakeholders and Climate Technical Experts Gathered to Develop and Validate Disaster Forecasting and Early Action Plans Ahead of El Nino and Other Hazards,https://www.africa-newsroom.com/press/lesothos-key-stakeholders-and-climate-technical-experts-gathered-to-develop-and-validate-disaster-forecasting-and-early-action-plans-ahead-of-el-nino-and-other-hazards,africa-newsroom.com,South Africa,English,infrastructure_risk,,,False
2026-09-07T08:11:56Z,20260901T050000Z,South Africa : SA Company Sues Lesotho Tunnel Builder for M165 - Million,https://allafrica.com/stories/202609010022.html,allafrica.com,Nigeria,English,infrastructure_risk,,,False
2026-09-07T08:11:56Z,20260831T084500Z,"Sat , 29th , August , 2026 : Richard Keane , CEO of Living Positive Victoria ; HIV / AIDS and Global Health Update",https://joy.org.au/saturdaymagazine/2026/08/sat-29th-august-2026-richard-keane-ceo-of-living-positive-victoria-hiv-aids-and-global-health-update/,joy.org.au,Australia,English,infrastructure_risk,,,False
2026-09-08T11:36:23Z,20260907T230000Z,Treason Cases Sweep Across Africa Opposition - Global News Network Liberia,https://gnnliberia.com/treason-cases-sweep-across-africas-opposition/,gnnliberia.com,Liberia,English,trade_investment,,,False
2026-09-08T11:36:23Z,20260907T154500Z,"Wandile Sihlobo | SA farm exports surge , with Africa taking 40 % ",https://www.news24.com/business/opinion/wandile-sihlobo-sa-farm-exports-surge-with-africa-taking-40-20260907-0697,news24.com,South Africa,English,trade_investment,,,False
2026-09-08T11:36:23Z,20260907T124500Z,Home Affairs deported 57 000 foreigners at R175m cost in two years,https://www.citizen.co.za/news/south-africa/home-affairs-deported-57-000-foreigners-at-r175m-cost-in-two-years/,citizen.co.za,South Africa,English,trade_investment,,,False
2026-09-08T11:36:23Z,20260906T031500Z,Navy Chief Krishna Swaminathan Urges OTA Officers to Build Courage and Lead,https://dailypioneer.com/news/human-element-remains-decisive-in-modern-war-navy-chief-swaminathan,dailypioneer.com,India,English,policy_finance,,,False
2026-09-08T11:36:23Z,20260905T133000Z,  Unqualified  doctor heading children ward at QMMH,https://lestimes.com/?p=91431,lestimes.com,Lesotho,English,policy_finance,,,False
2026-09-08T11:36:23Z,20260907T124500Z,"Injini Opens $125 , 000 AI EdTech Venture Builder Across Nine Southern African Countries",https://iafrica.com/injini-opens-125000-ai-edtech-venture-builder-across-nine-southern-african-countries/,iafrica.com,South Africa,English,infrastructure_risk,,,False
2026-09-10T11:41:56Z,20260910T060000Z,Africa - based winners of Re : Paris Prize - Announcements,https://www.e-flux.com/announcements/6788080/africa-based-winners-of-re-paris-prize,e-flux.com,United States,English,trade_investment,,,False
2026-09-10T11:41:56Z,20260909T221500Z,Top 10 African Countries Legally Permitted to Live in South Africa,https://tribuneonlineng.com/top-10-african-countries-legally-permitted-to-live-in-south-africa/,tribuneonlineng.com,Nigeria,English,trade_investment,,,False
2026-09-10T11:41:56Z,20260909T174500Z,Our Children Cannot Wait : The Case for Child Survival and Nutrition Sovereignty,https://www.cnbcafrica.com/2026/our-children-cannot-wait-the-case-for-child-survival-and-nutrition-sovereignty,cnbcafrica.com,South Africa,English,trade_investment,,,False
